# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,需求地区ID,需求LevelMode,需求关卡ID,物品使用次数,CD时间,共享CD组,CD下线是否保留,使用目标,动作技能,物品使用功能1名称,物品使用功能1参数1,物品使用功能1参数2,物品使用功能1参数3,物品使用功能2名称,物品使用功能2参数1,物品使用功能2参数2,物品使用功能2参数3,物品使用功能3名称,物品使用功能3参数1,物品使用功能3参数2,物品使用功能3参数3,物品使用功能4名称,物品使用功能4参数1,物品使用功能4参数2,物品使用功能4参数3,可否被偷窃,共享携带上限组ID,物品伤害信息,排序参数,商城索引ID,素材分类_1,素材价值_1,素材分类_2,素材价值_2,素材分类_3,素材价值_3,素材分类_4,素材价值_4,素材分类_5,素材价值_5,素材分类_6,素材价值_6,素材分类_7,素材价值_7,素材分类_8,素材价值_8,素材分类_9,素材价值_9,素材分类_10,素材价值_10,副本中使用次数,随机狩猎奖励点,解绑道具,解绑道具数量
15011,Caeserber Claw+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Caeserber</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">尖锐的Caeserber之爪，利用足够好的情况下能够制作出对怪物造成严重伤害的武器。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15011,,2021,,,6,,6,,6,,,,,,,,,,,,,,,,1,,
15012,Caeserber Pelt+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Caeserber</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">从Caeserber身上剥去下的优质皮革，比硬皮更加耐用，是制作高级装备的必备品。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15012,,2021,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15013,Caeserber Fang+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Caeserber</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">能够咬碎坚硬实木的Caeserber牙齿，制作高级装备必备素材。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15013,,2021,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15014,High-quality Pelt,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Caeserber</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">优质的毛皮，可以用来制作帮助睡眠的枕头</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15014,,2021,,,4,,4,,4,,,,,,,,,,,,,,,,1,,
15015,Veteran Incisor,"""<FONT COLOR=\""\#6285C6\"" >Source：Caeserber</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Front teeth that belongs to a Caeserber that has been through many battles, can be used to make advance hunting gear</FONT>""",1,2,mat_tooth_02_BRW,1,0,1,8,1,2,0,0,999,0,0,100,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15015,,2021,,101,6,5,6,51,6,,,,,,,,,,,,,,,,10,,
15016,Velocidrome Claw,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的爪，是其捕食猎物时最经常用到的身体部位。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15016,,1011,,,6,,6,,6,,,,,,,,,,,,,,,,1,,
15017,Velociprey Scale,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">从蓝速龙身上剥下的鳞片，经常用来制作一般的装备。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15017,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15018,Velocidrome Fang,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的牙齿，锐利无比。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15018,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15019,Velocidrome Hide,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的皮，因为经过激烈的战斗而伤痕累累。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15019,,1011,,,4,,4,,4,,,,,,,,,,,,,,,,1,,
15020,Velocidrome Head,"""<FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的头，长有大冠，据猎人所说带在头上会有蓝速龙的感觉。</FONT>""",1,3,mat_head_02_BLU,1,0,1,8,1,2,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15020,,1011,,102,10,5,10,52,10,,,,,,,,,,,,,,,,5,,
15021,Velocidrome Claw+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的锐利爪，锐利的爪尖好似剑刃一般，能够轻易的穿破岩石。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15021,,1011,,,6,,6,,6,,,,,,,,,,,,,,,,,,
15022,Short Beak,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的喙，质量轻但更为坚硬，适宜制作结实的装备。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15022,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,,,
15023,Blue Bird Wyv Hide,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的覆盖着蓝色鳞片的外皮，颜色亮丽。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15023,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,,,
15024,Velocidrome Tail,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的尾巴，强大的韧性，可以像鞭子一样甩出用于攻击。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15024,,1011,,,4,,4,,4,,,,,,,,,,,,,,,,,,
15025,Velocidrome Hide+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">蓝速龙之王的上等皮，皮质更加柔韧，制作的装备更加耐用。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15025,,1011,,,10,,10,,10,,,,,,,,,,,,,,,,,,
15026,Velocidrome Sharp Claw,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的尖爪，锐利的爪尖好似剑刃一般，能够轻易的穿破岩石。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15026,,1011,,,6,,6,,6,,,,,,,,,,,,,,,,1,,
15027,Velociprey Scale+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">蓝速龙身上剥下的上等鳞片，质量轻但更为坚硬，适宜制作更加结实的装备。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15027,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15028,Velocidrome Fang+,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的尖牙，在保持锐利的情况下更加坚硬。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15028,,1011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15029,Velocidrome Quality Hide,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome的上等皮，皮质更加柔韧，制作的装备更加耐用。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15029,,1011,,,4,,4,,4,,,,,,,,,,,,,,,,1,,
15030,Velocidrome Crown,"""<FONT COLOR=\""\#6285C6\"" >Source：Velocidrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Velocidrome's crown, a sign of the alpha of its pack. Can be used to make gear.</FONT>""",1,3,mat_head_02_BLU,1,0,1,8,1,2,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15030,,1011,,102,10,5,10,52,10,,,,,,,,,,,,,,,,10,,
15031,Bulldrome Hoof,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的蹄，打造装备的基本素材之一。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15031,,2011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15032,Bullfango Pelt,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">大野猪的皮，毛很硬，而且拿来烹饪味道不错，当然也可以制作其他装备。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15032,,2011,,,2,,2,,2,,,,,,,,,,,,,,,,1,,
15033,Bulldrome Tusk,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的牙，体形巨大，坚硬无比。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15033,,2011,,,6,,6,,6,,,,,,,,,,,,,,,,1,,
15034,Bulldrome Hide,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的鬃毛，非常粗糙。</FONT>""",1,1,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15034,,2011,,,4,,4,,4,,,,,,,,,,,,,,,,1,,
15035,Bulldrome Curved Fang,"""<FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Strong teeth from a Bulldrome, strong enough to snap a tree</FONT>""",1,3,mat_head_03_GRY,1,0,1,8,1,2,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15035,,2011,,103,10,5,10,51,10,,,,,,,,,,,,,,,,5,,
15036,Rough Pelt,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">大野猪的皮，毛很粗糙，而且拿来烹饪味道不错，当然也可以制作其他装备。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15036,,2011,,,2,,2,,2,,,,,,,,,,,,,,,,,,
15037,Boar Meat,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的肉，烹饪后的味道很鲜美。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15037,,2011,,,2,,2,,2,,,,,,,,,,,,,,,,,,
15038,Bulldrome Sharp Tusk,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的獠牙，硬度更上一层楼，适合打磨成优秀的武器。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,100,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15038,,2011,,,6,,6,,6,,,,,,,,,,,,,,,,,,
15039,Jumbo Bone,"""<FONT COLOR=\""\#68A16A\"" >An old material and has no value. Better sell it for extra zenny.</FONT><BR><FONT COLOR=\""\#6285C6\"" >Source：Bulldrome</FONT><BR><BR><FONT COLOR=\""\#C6B262\"">Bulldrome的骨头，由于长期奔跑，非常的粗壮，是难得一见的好素材。</FONT>""",1,3,item_icon_59,1,0,1,8,1,0,0,0,999,0,0,150,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15039,,2011,,,4,,4,,4,,,,,,,,,,,,,,,,,,
