# 总表ID,物品名称,说明,物品等级,稀有度,图标ID,离开副本是否保留,材质,RANK,物品主类,物品中类,物品子类,绑定类型,拥有上限,携带上限,堆叠上限,农场精算点数,可否摧毁,购买价格,出售价格,是否商城道具,可否分解,物品过期时间,物品过期Tag,模型资源(男),模型资源(女),角色等级需求,种族需求,星级职业需求,星级等级需求,需求技能1ID,需求技能1等级MIN,需求技能1等级MAX,需求技能2ID,需求技能2等级MIN,需求技能2等级MAX,猎团等级需求,宠物等级需求,性别需求,可否升级Rank,Rank升级规则,可否升级等级,等级升级规则,可否升级,可否强化,可强化等级,可突破等级,突破所需强化等级,近远程类型,武器长度,初始孔数,最大孔数,攻击力,防御力,会心等级,最大斩味值,红色斩味数值,橙色斩味数值,黄色斩味数值,绿色斩味数值,蓝色斩味数值,白色斩味数值,紫色斩味数值,铜色斩味数值,银色斩味数值,金色斩味数值,耐久度,附加生命,水属性攻击力,火属性攻击力,雷属性攻击力,龙属性攻击力,冰属性攻击力,毒附加,眠附加,麻附加,爆破附加,水抗性,火抗性,雷抗性,龙抗性,冰抗性,力量,爆发,运气,体力,附加属性基因1ID,附加属性基因2ID,附加属性基因3ID,附加属性基因4ID,附加属性基因5ID,附加属性基因6ID,装备被动技1ID,值1,装备被动技2ID,值2,装备被动技3ID,值3,装备被动技4ID,值4,装备被动技5ID,值5,装备被动技6ID,值6,可否被偷窃,随机被动技大组,气刃槽最大值,衰减速度,LV1时间,LV2时间,LV3时间,维持满状态时间,觉醒索引编号,觉醒等级1,觉醒等级2,觉醒等级3,突破特效1,突破特效2,突破特效3,强化规则,强化特效1,强化特效2,强化特效3,排序参数,染色规则,商城索引ID,是否投放,高跟鞋,套装ID,是否被幻化,是否幻化,幻化消耗,淬炼规则,淬炼等级上限,是否允许退火,升级消耗规则,等级提升上限,粘合剂id,粘合剂数量,是否为残兵,解绑道具,解绑道具数量,护石熔炼规则,直升规则集,攻击力成长,防御力成长,附加生命成长,水属性攻击力成长,火属性攻击力成长,雷属性攻击力成长,龙属性攻击力成长,冰属性攻击力成长,水抗性成长,火抗性成长,雷抗性成长,龙抗性成长,冰抗性成长,力量成长,爆发成长,运气成长,体力成长,毒附加成长,眠附加成长,麻附加成长,爆破附加成长
120503,白猿薙,工匠利用雪狮子王素材打造的太刀，威力相当巨大，是高级猎人的必备武器。,35,1,ep_xszw_09,0,1,1,2,1,7,2,0,0,1,0,0,161000,1610,0,0,0,,370017,370017,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,104,0,0,2500000,1200000,1480000,1680000,2000000,2890000,3510000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,18,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120504,苍之丸,使用镰蟹素材打造的强力太刀，强力的斩击能将巨岩化为碎石。,35,1,ep_lx_09,0,1,1,2,1,7,2,0,0,1,0,0,161000,1610,0,0,0,,370015,370015,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,93,0,0,2500000,1020000,1720000,1890000,2100000,2590000,3570000,4000000,4000000,4000000,4000000,300,0,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120505,疾电碎牙改,以电龙素材为主体打造的太刀，充满雷电的力量在对付一些怪物时能够发挥强大的力量。,35,1,ep_dl_09,0,1,1,2,1,7,2,0,0,1,0,0,161000,1610,0,0,0,,370012,370012,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,91,0,10,2500000,1040000,1310000,1660000,2050000,2960000,3380000,4000000,4000000,4000000,4000000,300,0,0,0,25,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,31,32,33,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120506,霸刀【龙鳞】,充满王者之气的太刀，撕裂伤口的速度相当快。,35,1,ep_nb3_09,0,1,1,2,1,7,2,0,0,1,0,0,161000,1610,0,0,0,,370013,370013,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,10,0,99,0,0,0,10,117,0,-7,2500000,1040000,1110000,1470000,2100000,2720000,3160000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120507,狂乱压切真,以金毛兽王的素材打造的太刀，传闻使用这把太刀的人会因无法抑制心中的狂暴而发挥出强大的战斗力量。,40,2,ep_jmsw_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370203,370203,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,128,0,0,2500000,1230000,1420000,1610000,2100000,2840000,3480000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120508,紫鹭镰刀真,将大量紫毒鸟素材混合打造而成的太刀，独特的造型相当吸引人的目光。,40,2,ep_zdn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370204,370204,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,670000,850000,1210000,2200000,2970000,3400000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,63,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120509,羽狩改9号,使用眠鸟素材打造的华丽太刀，充满眠鸟羽毛的刀柄似乎隐藏着不为人知的力量。,40,2,ep_mn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370014,370014,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,96,0,7,2500000,1170000,1300000,1470000,2100000,2300000,2880000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,63,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120510,坚岩万斩,如同岩龙外壳一样坚硬的太刀，挥舞起来让人感觉格外安心。,40,2,ep_yl_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370023,370023,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,135,0,-15,2500000,600000,1030000,1290000,2150000,2850000,3040000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120511,鸣沙飞天太刀,借由沙雷鸟素材打造的华丽太刀，刀光剑影之下拥有无穷的威力。,40,2,ep_sln_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370009,370009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,370000,1320000,1590000,2050000,2550000,3520000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,66,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120512,白猿薙真,工匠利用雪狮子王素材打造的太刀，威力相当巨大，是高级猎人的必备武器。,40,2,ep_xszw_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370017,370017,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,115,0,0,2500000,980000,1560000,1700000,2000000,2910000,3650000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,20,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120513,极恶鸟喙开光,以青怪鸟素材打造的太刀，挥动刀刃时似乎可以掀起旋风般的力量。,40,2,ep_qgn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370202,370202,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,104,0,-7,2500000,800000,1240000,1610000,2050000,2670000,3460000,4000000,4000000,4000000,4000000,300,0,0,27,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,21,22,23,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120514,苍之轨迹,使用镰蟹素材打造的强力太刀，强力的斩击能将巨岩化为碎石。,40,2,ep_lx_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370015,370015,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,102,0,0,2500000,1320000,1720000,1890000,2100000,2850000,3360000,4000000,4000000,4000000,4000000,300,0,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120515,胫节棘刃D,充满骇狩蛛元素的太刀，颜色很有王者之风，但要小心不要被迷惑了。,40,2,ep_hsz_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370205,370205,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,101,0,7,2500000,1140000,1510000,1780000,2050000,2970000,3300000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,63,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120516,疾电碎牙真,以电龙素材为主体打造的太刀，充满雷电的力量在对付一些怪物时能够发挥强大的力量。,40,2,ep_dl_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370012,370012,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,100,0,10,2500000,720000,1010000,1180000,2050000,2570000,3580000,4000000,4000000,4000000,4000000,300,0,0,0,27,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,31,32,33,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120517,霸刀【龙鳞】真,充满王者之气的太刀，撕裂伤口的速度相当快。,40,2,ep_nb3_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370013,370013,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,128,0,0,2500000,700000,1170000,1260000,2100000,2830000,3030000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,8,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120518,狂乱压切极,以金毛兽王的素材打造的太刀，传闻使用这把太刀的人会因无法抑制心中的狂暴而发挥出强大的战斗力量。,45,2,ep_jmsw_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370203,370203,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,140,0,0,3000000,910000,1150000,1390000,1710000,2600000,3190000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120519,紫鹭镰刀极,将大量紫毒鸟素材混合打造而成的太刀，独特的造型相当吸引人的目光。,45,2,ep_zdn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370204,370204,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,110000,360000,500000,1720000,2700000,3440000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,64,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120520,羽狩改87号,使用眠鸟素材打造的华丽太刀，充满眠鸟羽毛的刀柄似乎隐藏着不为人知的力量。,45,2,ep_mn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370014,370014,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,111,0,7,3000000,1090000,1690000,1820000,2340000,2600000,3480000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,64,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120521,坚岩亿斩,如同岩龙外壳一样坚硬的太刀，挥舞起来让人感觉格外安心。,45,2,ep_yl_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370023,370023,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,147,0,-15,3000000,140000,830000,1210000,2270000,2650000,3340000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120522,鸣沙大魔王,借由沙雷鸟素材打造的华丽太刀，刀光剑影之下拥有无穷的威力。,45,2,ep_sln_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370009,370009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,650000,960000,1580000,2090000,2550000,3090000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,0,0,0,72,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,1,2,3,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120523,白猿薙极,工匠利用雪狮子王素材打造的太刀，威力相当巨大，是高级猎人的必备武器。,45,2,ep_xszw_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370017,370017,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,126,0,0,3000000,1150000,1250000,1800000,2000000,2500000,3380000,4000000,4000000,4000000,4000000,300,0,0,0,0,0,21,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,51,52,53,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120524,极恶鸟喙升天,以青怪鸟素材打造的太刀，挥动刀刃时似乎可以掀起旋风般的力量。,45,2,ep_qgn_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370202,370202,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,115,0,-10,3000000,1000000,1820000,2110000,2190000,2550000,3170000,4000000,4000000,4000000,4000000,300,0,0,29,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,21,22,23,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120525,苍之激流,使用镰蟹素材打造的强力太刀，强力的斩击能将巨岩化为碎石。,45,2,ep_lx_09,0,1,1,2,1,7,2,0,0,1,0,0,280000,2800,0,0,0,,370015,370015,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,15,0,99,0,0,0,10,112,0,0,3000000,740000,1650000,1760000,2020000,2600000,3300000,4000000,4000000,4000000,4000000,300,0,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9,11,12,13,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
